sahosikotar,	সহসিকতার,	সাহসিকতার,	
shkalashtika,	স্কল্সিকট,	স্কলাস্টিক,	
boopon,	বুপন,	বপন,	
sosoa,	সসা,	শশা,	
pallar,	পালার,	পাল্লার,	
poste,	পষ্টে,	পোস্টে,	
emergenci,	এমের্েন্স,	এমার্জেন্সি,	
doojoo,	দুজো,	ডোজো,	
choudhoorio,	চৌধুর্য,	চৌধুরীও,	
parswer,	পারস্বের,	পার্শ্বে,	
anuchcheder,	অনুচছেদের,	অনুচ্ছেদের,	
turkmen,	তুর্মেন,	তুর্কমেন,	
nondolal,	নন্দললাল,	নন্দলাল,	
mukhomandoley,	মুখনম্লাে,	মুখমণ্ডলে,	
janmaat,	জন্মাত,	জন্মাত,	
sylvi,	সিলভি,	সিলভি,	
bone,	বনে,	বনে,	
dinifition,	ডিনিফিন,	ডেফিনেশন,	
directorate,	ডির্কটরেটে,	ডিরেক্টরেট,	
jyoistho,	জ্যোস্থ,	জ্যৈষ্ঠ,	
change,	চাঙ্গ,	চেঞ্জ,	
sangbadmadhyame,	সংবাদম্যমাদে,	সংবাদমাধ্যমে,	
promothesh,	প্রমােশ,	প্রমথেশ,	
engineers,	এনিগেন্স,	ইঞ্জিনিয়ার্স,	
lat,	লাট,	লাট,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
taholei,	তলহেই,	তাহলেই,	
lisense,	লিসেন্সে,	লাইসেন্স,	
gandhike,	গানধিকে,	গান্ধীকে,	
tuso,	টুসও,	তুসো,	
samanyo,	সামন্য,	সামান্য,	
brake,	ব্রাকে,	ব্রেক,	
klauda,	ক্লাউড,	ক্লাউড,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
kingdam,	কিজনমম,	কিংডম,	
adhunik,	অধুনিক,	আধুনিক,	
nodiigulo,	নদিগুলো,	নদীগুলো,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
vogirath,	ভগীরথ,	ভগীরথ,	
dovar,	ডভার,	ডোভার,	
mmadhobbir,	মাধববীর,	মাধবীর,	
metere,	মেটারে,	মিটারে,	
byatikrami,	ব্যাতিরিমি,	ব্যতিক্রমী,	
abhidhaaner,	অভিযানের,	অভিধানের,	
ikbaaler,	একবালের,	ইকবালের,	
bhotarer,	ভোতারের,	ভোটারের,	
deqe,	ডেকে,	ডেকে,	
karadandey,	কারাদ্দে,	কারাদণ্ডে,	
agara,	আগর,	আগোরা,	
hyaloyin,	হ্যালেন,	হ্যালোইন,	
enginearing,	এঙ্গিনিরিং,	ইঞ্জিনিয়ারিং,	
chalachchitrei,	চলাচচিত্যেই,	চলচ্চিত্রেই,	
tukrowti,	তুকর্্রি,	টুকরোটি,	
kaathhmaandute,	কা্মানন্তে,	কাঠমান্ডুতে,	
rahi,	রাহি,	রাহি,	
chalochchitratike,	চলচ্ছিত্রকিতে,	চলচ্চিত্রটিকে,	
bisnukey,	বিশ্নুকে,	বিষ্ণুকে,	
mosleh,	মোসলে,	মোসলেহ,	
choddo,	ছদ্য,	চোদ্দো,	
deambakriti,	দিম্বার্তি,	ডিম্বাকৃতি,	
naubihar,	নৌবিহার,	নৌবিহার,	
tusho,	তুশ,	তুসো,	
nirapattamulak,	নিরাপত্মূলক,	নিরাপত্তামূলক,	
akhaate,	আখাতে,	একহাতে,	
ekshor,	এক্সর,	একশোর,	
kommatei,	কমাটেই,	কমাতেই,	
saras,	সরস,	সরস,	
prokolpogulo,	প্রকোলপোগুলো,	প্রকল্পগুলো,	
koyeeri,	কয়েরি,	কোয়েরি,	
drissogulo,	দৃশ্যুগো,	দৃশ্যগুলো,	
bhramaner,	ভ্রামানের,	ভ্রমণের,	
templet,	টেম্পলেট,	টেম্পলেট,	
risorte,	রিসরর্টে,	রিসোর্টে,	
sooraarop,	সূরারপ,	সুরারোপ,	
weenis,	ওয়িনিস,	ভেনিস,	
rightsh,	রিইট্স,	রাইটস,	
stonehenje,	স্টেনেজেনে,	স্টোনহেঞ্জ,	
nothibhukta,	নথিযুক্ত,	নথিভুক্ত,	
aazaadir,	আজাদীর,	আজাদীর,	
mumtajer,	মুমতাজের,	মুমতাজের,	
licenshing,	লিকেন্সিং,	লাইসেন্সিং,	
parse,	পার্সে,	পার্শ্বে,	
nirbachaker,	নির্বাচাকের,	নির্বাচকের,	
pharn,	ফার্ন,	ফার্ন,	
qredita,	ক্রিডিট,	ক্রেডিট,	
information,	ইনফরমেশন,	ইনফরমেশন,	
motion,	মেটন,	মোশন,	
onchalgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
manshe,	মানসে,	মানুষে,	
konar,	কোনার,	কণার,	
oedipush,	অতিসমপ,	ইডিপাস,	
steeit,	স্টেইট,	স্টেইট,	
damane,	ডামানে,	দমনে,	
manbe,	মানবে,	মানবে,	
ojuhat,	অজুহত,	অজুহাত,	
harriser,	হ্যারিসের,	হ্যারিসের,	
ustaad,	আস্তাদ,	উস্তাদ,	
peengnaa,	পিঙ্না,	পিংনা,	
lesensa,	লেসেন্স,	লাইসেন্স,	
forider,	ফরিদের,	ফরিদের,	
avetara,	অভেতার,	অবতার,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
seekkhokbrindo,	শিক্ষানবিদ্র,	শিক্ষকবৃন্দ,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
proo,	প্রো,	প্রো,	
ghotleyo,	ঘটটেও,	ঘটলেও,	
kalam,	কলম,	কালাম,	
garjan,	গর্জন,	গর্জন,	
wool,	উয়া,	উল,	
aboshore,	অবসরে,	অবসরে,	
shadena,	সাদেন,	সাডেন,	
jillool,	জিল্লুল,	জিল্লুল,	
sommoteer,	সম্মতির,	সম্মতির,	
harbourey,	হর্বুরে,	হারবারে,	
ayantarqatiqa,	অ্যান্টারিক্ক,	অ্যান্টার্কটিকা,	
shikshakramer,	শিক্ষক্ররে,	শিক্ষাক্রমের,	
kromo,	ক্রোমো,	ক্রম,	
bhootara,	ভুটার,	ভোটার,	
karu,	কারু,	কারু,	
bhorpur,	ভর্পুর,	ভরপুর,	
phikshim,	ফিস্সিং,	ফিক্সিং,	
ahollar,	আললার,	অহল্যার,	
eshtoniya,	এস্যোটিয়া,	এস্তোনিয়া,	
prastutkarok,	প্রস্তুকররক,	প্রস্তুতকারক,	
rajatwa,	রাজত্ব,	রাজত্ব,	
leader,	লিডার,	লিডার,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
dankan,	ডানকন,	ডানকান,	
footballerder,	ফুটবল্রদের,	ফুটবলারদের,	
naobihar,	নাবহার,	নৌবিহার,	
shakkhatkarer,	শাক্ষতাকের,	সাক্ষাত্কারের,	
ssumitrar,	সুমিত্র,	সুমিত্রার,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
kommppito,	কম্পিত,	কম্পিত,	
shotokey,	শতকে,	শতকে,	
nazad,	নজজা,	নজদ,	
kheley,	খেলে,	খেলে,	
golakriti,	গলরক্তি,	গোলাকৃতি,	
durgandho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
shcholastic,	স্লাস্লটি,	স্কলাস্টিক,	
sthapona,	স্থানো,	স্থাপনা,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
baraakpur,	বারকপুর,	বারাকপুর,	
sohojlovyotar,	সহজভূবতার,	সহজলভ্যতার,	
senior,	সেনিওর,	সিনিয়র,	
parisankhyanbid,	পরিসংখ্যানী,	পরিসংখ্যানবিদ,	
dembakreeti,	দেম্বাক্রী,	ডিম্বাকৃতি,	
jees,	জিস,	জেস,	
vip,	ভিপ,	ভিআইপি,	
logicer,	লোগেসের,	লজিকের,	
selinar,	সিলিনার,	সেলিনার,	
jokey,	জোকে,	জকি,	
dinnar,	ডিননার,	ডিনার,	
bosontey,	বসন্তে,	বসন্তে,	
mandondo,	মন্দন্দ,	মানদণ্ড,	
naphisa,	নফিস,	নাফিসা,	
irana,	ইরান,	ইরান,	
sofi,	সফি,	সোফি,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
khorshed,	খারসেদ,	খোরশেদ,	
bolvodro,	বলবদ্র,	বলভদ্র,	
utsahi,	উৎসাহী,	উৎসাহী,	
augustine,	অগস্তিনে,	অগাস্টিন,	
konphlict,	কনফল্ক্ট,	কনফ্লিক্ট,	
the,	থেয়া,	থাই,	
noiteekotabodh,	নতিকত্বদ,	নৈতিকতাবোধ,	
aiieubi,	এইমি,	আইইউবি,	
johns,	জোনস,	জন্স,	
primoo,	প্রুমো,	প্রিমো,	
puddin,	পুদ্দিন,	পুডিং,	
kaley,	কালে,	কালে,	
ganoporibahon,	গণপরিবান,	গণপরিবহন,	
tthela,	থেলা,	ঠেলা,	
gonjona,	গন্জা,	গঞ্জনা,	
prakalpogulor,	প্রকালপুলোর,	প্রকল্পগুলোর,	
fokser,	ফক্সের,	ফক্সের,	
udar,	উদার,	উদর,	
moushumei,	মৌশুমে,	মৌসুমেই,	
tiunara,	টিউনার,	টিউনার,	
stonahenja,	স্ত্ঞাহেন্ন,	স্টোনহেঞ্জ,	
digreeke,	দিগ্রেইকে,	ডিগ্রিকে,	
sahopatheeke,	সহাপািকে,	সহপাঠীকে,	
par,	পার,	পাব,	
gunjey,	গুঞ্জে,	গুঁজে,	
yuqeliptas,	ইউক্যাপিস্ট,	ইউক্যালিপ্টাস,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
markete,	মার্কেটে,	মার্কেটে,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
bonoshree,	বনসরী,	বনশ্রী,	
kaleo,	কালেও,	কালেও,	
franco,	ফ্রান্ক,	ফ্রাঙ্কো,	
kara,	কারা,	কারো,	
chomoski,	চমস্কি,	চমস্কি,	
khalid,	খালিদ,	খালিদ,	
machhsoho,	মাহসচ,	মাছসহ,	
ceramics,	কেরামেসিস,	সিরামিকস,	
kandey,	কান্ডে,	কাণ্ডে,	
veenom,	ভিনম,	ভেনম,	
venkatesh,	ভেনাকেট,	ভেঙ্কটেশ,	
onchalgoolir,	অঞ্চলুলির,	অঞ্চলগুলির,	
chirokoomari,	চিরকরমীর,	চিরকুমারী,	
shaleha,	সালেহ,	সালেহা,	
gronthao,	গ্রন্থা,	গ্রন্থও,	
krus,	ক্রুস,	ক্রুশ,	
mangalik,	মাঙ্গলিক,	মাঙ্গলিক,	
samoshti,	সমস্তি,	সমষ্টি,	
carzer,	কার্জের,	চার্জের,	
okritokarjo,	অক্রিকর্য,	অকৃতকার্য,	
ganakantha,	গণণক্থ,	গণকণ্ঠ,	
shuknaa,	শূক্না,	শুকনা,	
shangkalone,	সংকলনে,	সংকলনে,	
porizoner,	পরিজনের,	পরিজনের,	
dhhaby,	ধাবি,	ঢাবি,	
probhuder,	প্রভূদের,	প্রভুদের,	
weelcomee,	ওয়েকমি,	ওয়েলকাম,	
prachurjer,	প্রচূর্যের,	প্রাচুর্যের,	
jeansh,	জিন্স,	জিন্স,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
sho,	শু,	শো,	
byataree,	ব্যাটারি,	ব্যাটারী,	
korechi,	করেছি,	করেছি,	
karmasansthaner,	কর্মস্নাসনের,	কর্মসংস্থানের,	
chho,	ছো,	ছোঁ,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
pooroheetra,	পুরোহিত্র,	পুরোহিতরা,	
ekpase,	একপাসে,	একপাশে,	
sikkhakbrindo,	শিক্ষাকবিদ্র,	শিক্ষকবৃন্দ,	
khorsed,	কররসে,	খোরশেদ,	
sointoder,	সৈন্দদের,	সৈন্যদের,	
meetar,	মেটার,	মিত্র,	
netherlandey,	নেইরারন্ডেনে,	নেদারল্যান্ডে,	
bhoolapuka,	ভূলাপুকা,	ভোলাপুক,	
chhai,	ছাই,	ছাই,	
bhaskar,	ভাস্কার,	ভাস্কর,	
abikal,	আবিকাল,	অবিকল,	
gez,	গেজ,	গেজ,	
bhabnar,	ভাবনার,	ভাবনার,	
mitro,	মিত্র,	মিত্র,	
marathi,	মারাথী,	মরাঠি,	
cholochchitraeeo,	চলচ্ছিত্য,	চলচ্চিত্রেও,	
maaktume,	মাক্তমে,	মাকতুম,	
sheekarke,	শিকারকে,	শিকারকে,	
dower,	ডভার,	ডোভার,	
sherup,	শেরুপ,	সেরূপ,	
byaran,	ব্যারণ,	ব্যারন,	
sangkalaner,	সংকলনের,	সংকলনের,	
nodnadir,	নদদানীর,	নদনদীর,	
norfolk,	নরর্লক,	নরফোক,	
kishti,	কিষ্টি,	কিস্তি,	
susamo,	সুসম,	সুসম,	
alaa,	আলা,	আলা,	
praapokke,	প্রাপককে,	প্রাপককে,	
bukhari,	বুখারী,	বুখারি,	
nagarikata,	নাগরিকাত,	নাগরিকতা,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
