cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
samratder,	সম্রাতদের,	সম্রাটদের,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
ala,	আলা,	আলা,	
asbab,	আসবাব,	আসবাব,	
polashir,	পলাশির,	পলাশীর,	
teman,	তেমান,	তেমন,	
nirmol,	নির্মল,	নির্মল,	
futonta,	ফুটোট্টা,	ফুটন্ত,	
chapchap,	চাপচাপ,	চাপচাপ,	
korle,	করলে,	করলে,	
bhenom,	ভেনম,	ভেনম,	
teemothi,	তীমোথি,	টিমোথি,	
maladabha,	মালাদা,	মলদোভা,	
ameettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
dhanak,	ধনক,	ধানক,	
kokeyin,	কোকেইন,	কোকেইন,	
samajik,	সামাজিক,	সামাজিক,	
dai,	দাই,	ডে,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
khudrokar,	ক্ষুদ্রকার,	ক্ষুদ্রকার,	
artilary,	আর্টিলারি,	আর্টিলারি,	
khaaneker,	খানেকের,	খানেকের,	
chapal,	চাপাল,	চপল,	
browser,	ব্রোই়ারের,	ব্রাউজার,	
dheke,	ধেকে,	ঢেকে,	
satarka,	সাতারকা,	সতর্ক,	
jeelyaand,	জিল্যান্দ,	জিল্যান্ড,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
asamorik,	আসামরিক,	অসামরিক,	
sheepha,	শীফা,	শেফ,	
hizrite,	হিজরিতে,	হিজরীতে,	
ghotleo,	ঘটলেও,	ঘটলেও,	
porishongkhanbid,	পরিশংখ্যানবিদ,	পরিসংখ্যানবিদ,	
kirke,	কিরকে,	কিরকে,	
qarpeta,	কারপেটা,	কার্পেট,	
chhadura,	ছদুরা,	ছাদুরা,	
ghoshanapatratio,	ঘোষণাপত্রটিও,	ঘোষণাপত্রটিও,	
shunani,	শুনানি,	শুনানী,	
taffsherer,	তাফশেরের,	তাফসীরের,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
redcrosser,	রেডক্রোসের,	রেডক্রসের,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
chikitsanirbhar,	চিকিৎসানির্ভর,	চিকিৎসানির্ভর,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shhashtra,	ষাস্ট্রা,	শাস্ত্র,	
somratra,	সোমরাত্র,	সম্রাটরা,	
gananatyo,	গণনাত্ম,	গণনাট্য,	
chakurijibirao,	চাকুরিজীবিরাও,	চাকুরীজীবীরাও,	
bastubad,	বাস্তুবাদ,	বস্তুবাদ,	
gaandaas,	গান্দাস,	জ্ঞানদাস,	
chaudhuriyo,	চৌধুরিয়,	চৌধুরীও,	
tiger,	টিগের,	টাইগার,	
sahozlabhbhotar,	সহজলভভবতার,	সহজলভ্যতার,	
sarboshokteeman,	সর্বশক্তিমান,	সর্বশক্তিমান,	
bhardwaj,	ভারদ্বাজ,	ভরদ্বাজ,	
segulo,	সেগুলো,	সেগুলো,	
machhti,	মাছটি,	মাছটি,	
probhur,	প্রভুর,	প্রভুর,	
procharona,	প্রচারণা,	প্রচারণা,	
sipa,	সিপা,	শিপ,	
wagadada,	ওয়াগাদাদা,	বাগদাদ,	
tooku,	টোকু,	টুকু,	
niknayman,	নিক্নমমান,	নিকনেইমান,	
photanor,	ফটানোর,	ফোটানোর,	
jwar,	জ্বার,	জ্বর,	
goonoman,	গুনমান,	গুণমান,	
playtey,	প্লেইটে,	প্লেটে,	
gaichhe,	গাইছে,	গাইছে,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
disposes,	ডিস্পোস,	ডিসপোজেস,	
mozdur,	মজদুর,	মজদুর,	
masjidsaho,	মসজিদসহ,	মসজিদসহ,	
francine,	ফ্রান্সিন,	ফ্রান্সিন,	
fatakasto,	ফাতাকাস্ত,	ফাটাকেষ্ট,	
saatzoner,	সাতজনের,	সাতজনের,	
shumo,	শুমো,	সুমো,	
soorsa,	সূর্স,	সোর্স,	
alimpiqa,	আলিমিপিকা,	অলিম্পিক,	
bondi,	বন্দী,	বন্দী,	
foreks,	ফোরেক্স,	ফরেক্স,	
chalachchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
karmojog,	কার্যোোগ,	কর্মযোগ,	
chhatrodiger,	ছাত্রদিগের,	ছাত্রদিগের,	
shit,	শিত,	শীত,	
emiratas,	এমিরাতাস,	এমিরেটাস,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
creshcent,	ক্রেসচেন্ট,	ক্রিসেন্ট,	
logic,	লজিক,	লজিক,	
sahozlabhbhatar,	সহজলভাবতার,	সহজলভ্যতার,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
provur,	প্রভুর,	প্রভুর,	
torikher,	তরিখের,	তরিখের,	
plak,	প্ল্যাক,	প্ল্যাক,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
borkhastokritora,	বরখাস্ত্মিকরা,	বরখাস্তকৃতরা,	
khorsed,	খোর্সেদ,	খোরশেদ,	
jalbe,	জালবে,	জ্বলবে,	
turista,	তুরিস্তা,	টুরিস্ট,	
seoul,	সেওয়েল,	সোল,	
monchosthol,	মঞ্চস্থল,	মঞ্চস্থল,	
collaborators,	কোলাবর্টরসহ,	কলাবরেটরস,	
kei,	কেই,	কেই,	
stonehenje,	স্টোনহেনজে,	স্টোনহেঞ্জ,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
dhojovongo,	ধ্বজভঙ্গ,	ধ্বজভঙ্গ,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
chanoo,	চানু,	চানু,	
dufresne,	ডুফ্রেন্স,	ডুফরেস্ন,	
hakone,	হাকনে,	হাকোনে,	
amar,	আমার,	আমর,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
manjushree,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
suchanakal,	সুচননকাল,	সূচনাকাল,	
doobate,	দউবাতে,	ডুবাতে,	
siit,	সিত,	শীত,	
sardar,	সারদার,	সরদার,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
nirikho,	নিরিখো,	নিরিখ,	
joisttho,	জৈষ্টত্,	জ্যৈষ্ঠ,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
welcome,	ওয়েলকোম,	ওয়েলকাম,	
ghotaibe,	ঘটাইবে,	ঘটাইবে,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
hojurer,	হজুরের,	হজুরের,	
jetam,	জেতম,	যেতাম,	
ebhara,	এভারা,	এভার,	
sondhisthaponer,	সন্ধিষ্ঠাসমের,	সন্ধিস্থাপনের,	
miitar,	মিতার,	মিত্র,	
marmader,	মারমাদের,	মারমাদের,	
chai,	চাই,	ছাই,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
dorneca,	দর্নেকা,	ডরনেকা,	
thaanobhi,	থানোভী,	থানভী,	
greep,	গ্রিপ,	গ্রিপ,	
edic,	ইডিক,	এডিক,	
chuti,	চুটি,	ছুটি,	
nirbaho,	নির্বাহও,	নির্বাহ,	
maila,	মাইলা,	মাইল,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
plack,	প্ল্যাক,	প্ল্যাক,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
shorifer,	শরিফের,	শরিফের,	
komanera,	কমানেরা,	কমানেরা,	
shringge,	শ্রীংগে,	শৃঙ্গে,	
keui,	কেউই,	কেউই,	
zubokder,	যুবকদের,	যুবকদের,	
mitrota,	মিত্রটা,	মিত্রতা,	
nowel,	নউবেল,	নভেল,	
poscime,	পশ্চিমে,	পশ্চিমে,	
dharavahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
si,	সিই,	এসআই,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
laaishheshh,	লৈশশে,	লাইসেন্স,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
borlen,	বোরলেন,	বরলেন,	
graambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
bosben,	বসবেন,	বসবেন,	
mokhmoley,	মোখমলে,	মখমলে,	
barder,	বার্দের,	বার্ডের,	
alraji,	আলরাজি,	আলরাজী,	
naitikatavodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
inapharameshana,	ইনাফরেশন,	ইনফরমেশন,	
bisshasi,	বিশ্সাসী,	বিশ্বাসী,	
kampita,	কাম্পিতা,	কম্পিত,	
difinishion,	ডিফিনশন,	ডেফিনেশন,	
jomoker,	জমকের,	জমকের,	
crime,	ক্রাইম,	ক্রাইম,	
shomser,	শমসের,	সমশের,	
mohajote,	মহাজোতে,	মহাজোট,	
mugdal,	মুগদাল,	মুগডাল,	
korimpur,	করিমপুর,	করিমপুর,	
aabarte,	আবার্তে,	আবর্তে,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
bite,	বিতে,	বাইট,	
schilling,	স্লিলিং,	শিলিং,	
jonomukhi,	জনমুখী,	জনমুখী,	
spreedashita,	স্প্রীদাশিত,	স্প্রেডশীট,	
lesense,	লেসেন্সে,	লাইসেন্স,	
konar,	কোনার,	কণার,	
tricksguli,	ট্রিকসসগুলি,	ট্রিকসগুলি,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
hooldim,	হুল্ডিম,	হোল্ডিং,	
garora,	গ্যারোরা,	গারোরা,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
geja,	গেজ,	গেজ,	
bbiswashi,	ব্বিব্বাশী,	বিশ্বাসই,	
firalem,	ফিয়ারেম,	ফিরালেম,	
sumoo,	সুমৌ,	সুমো,	
brake,	ব্রেক,	ব্রেক,	
helly,	হেল্,	হিলি,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
hert,	হার্ট,	হার্ট,	
phonekari,	ফোনেকারি,	ফোনকারী,	
deliver,	ডেলিভার,	ডেলিভার,	
ronodeep,	রণদীপ,	রণদীপ,	
poste,	পোস্তে,	পোস্টে,	
ganakantha,	গণকান্থা,	গণকণ্ঠ,	
kheylechen,	খেলেছেন,	খেলেছেন,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
rakim,	রাকিম,	রাকিম,	
debdebie,	দেবদেবী,	দেবদেবী,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
holuder,	হোলুদের,	হলুদের,	
deep,	দিপ,	দীপ,	
nagarikera,	নাগারিকেরা,	নাগরিকেরা,	
nathivukteer,	নাথিভুক্তির,	নথিভুক্তির,	
azaan,	আজানান,	আজান,	
toufiq,	তৌফিক,	তৌফিক,	
potka,	পটকা,	পটকা,	
iuro,	আইর়,	ইউরো,	
dhanyi,	ধননই,	ধন্যি,	
devolapar,	ডেভলোপার,	ডেভলপার,	
phox,	ফক্স,	ফক্স,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
akar,	আকার,	একার,	
houzgulite,	হাউজগুলিতে,	হাউজগুলিতে,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
mailkhanek,	মাইলখানেক,	মাইলখানেক,	
hingsar,	হিংসার,	হিংসার,	
musallati,	মুসল্লাটি,	মুসল্লাটি,	
dakter,	ডাক্টের,	ডাকতের,	
poste,	পোস্তে,	পোষ্টে,	
bongshokey,	বংশকে,	বংশকে,	
ji,	জেই,	জি,	
narishwar,	নারীশ্বর,	নারীশ্বরের,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
bhushito,	ভূষিত,	ভূষিত,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
gandhiio,	গান্ধিও,	গান্ধীও,	
bonobhumi,	বনভূমি,	বনভূমি,	
shangkulaan,	সংকুল্নন,	সংকুলান,	
daaoon,	ডাউন,	ডাউন,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
alankorana,	অলঙ্করণা,	অলঙ্করণ,	
