ganochiner,	গণচিলের,	গণচীনের,	
ahalyar,	অহল্যার,	অহল্যার,	
bukhari,	বুখারী,	বুখারি,	
biplabee,	বিপ্লেব,	বিপ্লবী,	
maudelke,	মৌডেলকে,	মডেলকে,	
parbotto,	পার্বত্ত,	পার্বত্য,	
tarkareer,	তরকারির,	তরকারীর,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
uponishoder,	উপনিশদের,	উপনিষদের,	
kanshat,	কা্সাত,	কানসাট,	
ivir,	এভির,	এভার,	
hafej,	হাফেজ,	হাফেয,	
zins,	জিনস,	জিন্স,	
bitlaser,	বিটলাসের,	বিটলসের,	
korlei,	করলেই,	করলেই,	
udar,	উদার,	উদর,	
mitrata,	মিত্রতা,	মিত্রতা,	
ruby,	রুবি,	রুবী,	
satarkabhabey,	সতারকভাবে,	সতর্কভাবে,	
dharatir,	ধরতির,	ধারাটির,	
alaol,	আলাল,	আলাওল,	
cloud,	ক্লাউড,	ক্লাউড,	
hoilo,	হইলো,	হইল,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bondiira,	বন্দীরা,	বন্দীরা,	
mangolic,	মঙ্গলিক,	মাঙ্গলিক,	
iyaqa,	ইয়াক,	ইয়াক,	
irana,	ইরন,	ইরান,	
ahollar,	আহললার,	অহল্যার,	
cheshsh,	চেস,	চেস,	
thatchar,	থাঁচার,	থ্যাচার,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
tintir,	তিনটির,	তিনটির,	
kaferder,	কাফেরদের,	কাফেরদের,	
bagdhara,	বাঘধারা,	বাগধারা,	
agoora,	অগুরা,	আগোরা,	
bamonder,	বামনদের,	বামনদের,	
phirati,	ফীরতি,	ফিরতি,	
hatochakito,	হতচাকিত,	হতচকিত,	
chheelonaa,	ছিলোনা,	ছিলনা,	
udbodhoni,	উদ্ববধীন,	উদ্বোধনী,	
chhaanee,	ছানি,	ছানি,	
nabatamo,	নবতম,	নবতম,	
robe,	রবে,	রবে,	
sakar,	সকার,	সকার,	
korecho,	করেচো,	করেছ,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
bosante,	বসনতে,	বসন্তে,	
elgoridom,	এলগোরিডোম,	এলগরিদম,	
rutina,	রুটিন,	রুটিন,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
unhu,	উন্নু,	উঁহু,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
boshoborty,	বসবর্তী,	বশবর্তী,	
samley,	সামলে,	সামলে,	
jakkho,	যক্ষ,	যক্ষ,	
kathhmandu,	কঠমনন্ডু,	কাঠমান্ডু,	
shomsti,	শম্তি,	সমষ্টি,	
gaichey,	গেছে,	গাইছে,	
idipasha,	ইডিপশ,	ইডিপাস,	
abhidhaaner,	অভিধানের,	অভিধানের,	
elakate,	এলাকাতে,	এলাকাতে,	
dhwajbhango,	ঢভবঙ্গ,	ধ্বজভঙ্গ,	
karo,	কারও,	কারো,	
hoteeltite,	হটিলটিটে,	হোটেলটিতে,	
ujobekeestaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
bhuushito,	ভূষিত,	ভূষিত,	
faad,	ফাঁড,	ফুড,	
santoshpore,	সন্তসপরে,	সন্তোষপুর,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
byte,	বাইট,	বাইট,	
deeputy,	দীপুতি,	ডেপুটি,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
chaiti,	চাইতি,	চৈতি,	
rato,	রতো,	রত,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
nazi,	নাজি,	নাত্সি,	
nariider,	নারীদের,	নারীদের,	
ghatity,	ঘ্যাটিটি,	ঘাঁটিটি,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
vangle,	ভাঙলে,	ভাঙলে,	
lohaar,	লোহার,	লোহার,	
swapod,	স্বপদ,	শ্বাপদ,	
boorana,	বুরণ,	বোরন,	
antarktikar,	আন্তর্কটিকার,	অ্যান্টার্কটিকার,	
delibhara,	ডেলিভার,	ডেলিভার,	
poricchonnota,	পরিচ্যনন্ততা,	পরিচ্ছন্নতা,	
ovarview,	অভার্ভিউ,	ওভারভিউ,	
chetonagato,	চেতনাগত,	চেতনাগত,	
lutharen,	লুটারেন,	লুথেরান,	
ghatkey,	ঘাতকে,	ঘাটকে,	
patishapta,	পতিশপ্ত,	পাটিসাপটা,	
taalal,	তালাল,	তালাল,	
tinbhager,	তিনভাগের,	তিনভাগের,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
labonaktatar,	লবণাক্ততার,	লবণাক্ততার,	
asovo,	অসভ,	অসভ্য,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
shaswato,	শ্বশত,	শাশ্বত,	
jack,	জ্যাক,	জ্যাক,	
paakshenara,	পাক্সেনার,	পাকসেনারা,	
sabhanetree,	সভানতীর্রী,	সভানেত্রী,	
jerusalem,	জেরুসলেম,	জেরুসালেম,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
koontee,	কুনটি,	কুন্তী,	
rubidium,	রুবিডিউম,	রুবিডিয়াম,	
groowth,	গ্রুথ,	গ্রোথ,	
okritakarjo,	অকৃতকার্য,	অকৃতকার্য,	
durgondher,	দুরগন্ধের,	দুর্গন্ধের,	
saralya,	সরো্ল,	সারল্য,	
faltir,	ফলটির,	ফলটির,	
hazarer,	হাজারের,	হাজারের,	
babylon,	বেবিলোন,	ব্যাবিলন,	
rashider,	রাশীদের,	রশিদের,	
abikaul,	আবিকুল,	অবিকল,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
fulkopi,	ফুলকপপি,	ফুলকপি,	
onkar,	অঙ্কার,	ওঙ্কার,	
jonoikaa,	জননকা,	জনৈকা,	
maithili,	মৈঠিলি,	মৈথিলি,	
obe,	অবে,	ওবিই,	
potochitro,	পতচিত্র,	পটচিত্র,	
istane,	ইস্তেন,	স্টোন,	
noditi,	নদীতী,	নদীটি,	
afzol,	আফজল,	আফজল,	
koordider,	কুর্দিদের,	কুর্দিদের,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
churger,	চার্গের,	চার্জের,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
obhijojan,	অভিযোজন,	অভিযোজন,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
monur,	মনুর,	মনুর,	
hizriite,	হিজরিতে,	হিজরীতে,	
carloos,	কার্লস,	কার্লোস,	
dokan,	ডকনন,	দোকান,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
soceitytey,	সোকেটিতে,	সোসাইটিতে,	
karle,	কার্লে,	করলে,	
dover,	ডভের,	ডোভার,	
agrodoot,	আগ্রদূত,	অগ্রদূত,	
vatar,	ভাটার,	ভাতার,	
uddhritto,	উদ্ধীত্ত,	উদ্ধৃত,	
bhabatarini,	ভবটারীনী,	ভবতারিণী,	
bahaal,	বহল,	বহাল,	
qyathaliqa,	ক্যাথলিকা,	ক্যাথলিক,	
kunntee,	কুনটি,	কুন্তী,	
gauge,	গৌগে,	গেজ,	
fridom,	ফ্রিডম,	ফ্রীডম,	
kokeyin,	কোকেন,	কোকেইন,	
inphormeshon,	ইনফ্রমেশন,	ইনফরমেশন,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
gorer,	গরের,	গোরের,	
phutbolarder,	ফুটবলরদের,	ফুটবলারদের,	
liceencee,	লিসেন্স,	লাইসেন্স,	
aansarir,	আনসারির,	আনসারীর,	
mulaadee,	মুলাদী,	মুলাদি,	
koreemke,	করিমকে,	করিমকে,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
nisad,	নিশাদ,	নিষাদ,	
horeedware,	হরিদদ্বরে,	হরিদ্বারে,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
chiranton,	চিরান্তন,	চিরন্তন,	
baasake,	বাসাকে,	বাসাকে,	
opargota,	অপারগোটা,	অপারগতা,	
mandando,	মননডন্ড,	মানদণ্ড,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
ajuhath,	আজুহাথ,	অজুহাত,	
gobeshakgon,	গবেষক্ণ,	গবেষকগণ,	
porjotoker,	পর্যটোকের,	পর্যটকের,	
avereste,	অ্যাভের্টে,	এভারেস্টে,	
bosturyi,	বস্তুই,	বস্তুরই,	
doulaa,	ডলা,	দৌলা,	
dajjho,	দাঝ্য,	দাহ্য,	
daver,	ডেভার,	ডোভার,	
ghatiti,	ঘাতিটি,	ঘাঁটিটি,	
udbodhone,	উদ্বধনে,	উদ্বোধনে,	
majuter,	মজুতের,	মজুতের,	
jyakasana,	জ্যাকসন,	জ্যাকসন,	
gobeshana,	গবেষণা,	গবেষনা,	
rautine,	রাউটিন,	রুটিন,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
aazadir,	আজাদির,	আজাদীর,	
durgotir,	দুর্গতির,	দুর্গটির,	
susama,	সুসমা,	সুসম,	
selim,	সেলিং,	সেলিম,	
ul,	উল,	উল,	
jonogononar,	জনগণনার,	জনগণনার,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
mawdel,	মোডেল,	মডেল,	
drisser,	দ্রাইশের,	দৃশ্যের,	
maktum,	মককতম,	মাকতুম,	
tarun,	তরুণ,	তরুন,	
iraaner,	ইরানের,	ইরানের,	
shikkhakbrindo,	শিক্ষাক্র্ণ্ড,	শিক্ষকবৃন্দ,	
bosontey,	বসনতে,	বসন্তে,	
janmaat,	জানমাত,	জন্মাত,	
lidars,	লিডার্স,	লিডার্স,	
tistaar,	টিস্তার,	তিস্তার,	
marmaader,	মারমাদের,	মারমাদের,	
chaloke,	চলকে,	চালকে,	
bitloser,	বিটলসের,	বিটলসের,	
taimash,	টাইমাস,	টাইমস্,	
shaswata,	শ্বশতা,	শাশ্বত,	
sayid,	সৈদ,	সাইদ,	
agradut,	অগ্রাদূত,	অগ্রদূত,	
deliver,	ডিলিভার,	ডেলিভার,	
nartakike,	নর্তাকীকে,	নর্তকীকে,	
samanya,	সামন্য,	সামান্য,	
bhaisaho,	ভৈষা,	ভাইসহ,	
manee,	মনি,	মানে,	
bee,	বি,	বি,	
pravu,	প্রভূ,	প্রভু,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
mosleh,	মোলসে,	মোসলেহ,	
uindos,	উইন্ডোস,	উইন্ডোস,	
atok,	অতোক,	আটক,	
hukar,	হুকার,	হুকার,	
alexander,	আলেকান্ডার,	আলেকজান্ডার,	
sanstha,	সংস্থ,	সংস্থা,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
ponchashjon,	পঞ্চাশযন,	পঞ্চাশজন,	
karater,	করাতের,	কারাতের,	
osontos,	অসন্তস,	অসন্তোষ,	
horus,	হররাস,	হোরাস,	
dikpal,	ডিকপোল,	দিকপাল,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
juboksaho,	যুবকসহ,	যুবকসহ,	
akkhar,	অক্ষর,	অক্ষর,	
heawy,	হেভি,	হেভি,	
ekaar,	একার,	একার,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
olympik,	অলিম্পিক,	অলিম্পিক,	
golakritir,	গোলকৃতির,	গোলাকৃতির,	
suraarop,	সুরারোপ,	সুরারোপ,	
tyuner,	টুনের,	টিউনার,	
udiichii,	উদিচি,	উদীচী,	
tafsher,	তাফসের,	তাফসীর,	
deily,	ডেলি,	ডেইলি,	
nirbahi,	নির্বাহী,	নির্বাহি,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
iyanqi,	ইয়েন্সি,	ইয়াংকি,	
kodom,	কোদম,	কদম,	
blacker,	ব্লকের,	ব্ল্যাকের,	
cruce,	ক্রুস,	ক্রুশ,	
shajano,	শাজানো,	সাজানো,	
kheylechen,	খেলেছেন,	খেলেছেন,	
deul,	ডিউল,	দেউল,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
bim,	বীম,	বিম,	
bishasey,	বিশাসে,	বিশ্বাসে,	
saholobhyotar,	সহলভোতার,	সহজলভ্যতার,	
haripur,	হরিপুর,	হরিপুর,	
saaralya,	সারোল্য,	সারল্য,	
ispredseet,	ইসপ্রেডসেট,	স্প্রেডশীট,	
gayichhey,	গাইছে,	গাইছে,	
aarmstrong,	আর্সস্ট্রং,	আর্মস্ট্রং,	
