antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
spreedashita,	স্পৃদাশিত,	স্প্রেডশীট,	
zeebonjapon,	জীবন্জপণ,	জীবনযাপন,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
jyaka,	জ্যাকা,	জ্যাক,	
thaakte,	থাকতে,	থাকতে,	
zillul,	জিল্লুল,	জিল্লুল,	
durg,	দার্গ,	দুর্গ,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
teknokrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
ooeepoka,	উপইককা,	উইপোকা,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
pushteer,	পুষ্টির,	পুষ্টির,	
se,	সা,	সে,	
nikat,	নিকট,	নিকট,	
daayitto,	দৈত্য,	দায়িত্ব,	
ajiban,	আজিবন,	আজীবন,	
yeaster,	ইযস্টার,	ইস্টের,	
pudinn,	পাদিন,	পুডিং,	
transhform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bagdadi,	বাগদদী,	বাগদাদী,	
chhootite,	ছুটিতে,	ছুটিতে,	
garjon,	গর্জন,	গর্জন,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
lojic,	লজিক,	লজিক,	
cruce,	ক্রুস,	ক্রুশ,	
bishad,	বিষাদ,	বিষদ,	
day,	দা,	ডে,	
pooloo,	পোলো,	পোলো,	
kumarir,	কুমারীর,	কুমারীর,	
harbur,	হার্বার,	হারবার,	
barbadoj,	বার্বাজোজ,	বার্বাডোজ,	
goteehin,	গতিহীন,	গতিহীন,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
shkarta,	স্কার্ট,	স্কার্ট,	
khijir,	ক্ষিজির,	খিজির,	
graambaasheeo,	গ্রাম্বাসী,	গ্রামবাসীও,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
zins,	জিনস,	জিন্স,	
prabhura,	প্রভূর,	প্রভুরা,	
utpotti,	উৎপত্তি,	উতপত্তি,	
sangbadmadhyamgulote,	সংব্দধাম্যগুলো,	সংবাদমাধ্যমগুলোতে,	
attobishwasi,	আত্মবিশাসাী,	আত্মবিশ্বাসী,	
pouchhute,	পৌঁছতে,	পৌঁছুতে,	
sahabike,	সাহাবিকে,	সাহাবীকে,	
teenej,	তিনেজ,	টিনেজ,	
bhalta,	ভলত,	ভল্ট,	
chetna,	চেতনা,	চেতনা,	
saramiks,	সারমিক্স,	সিরামিকস,	
laishensha,	লাইন্সেস,	লাইসেন্স,	
korkotkranti,	করককরান্তি,	কর্কটক্রান্তি,	
sarboporee,	সর্বোপরি,	সর্বোপরী,	
salapheeta,	সলফিত,	সালফেট,	
thraugh,	ত্রঘ,	থ্রু,	
bypass,	বিপাশ,	বাইপাস,	
rifleks,	রাইফেলক্স,	রিফ্লেক্স,	
germanyteo,	জার্মানেতেও,	জার্মানিতেও,	
polashir,	পলাসির,	পলাশীর,	
chhutite,	ছুটিতে,	ছুটিতে,	
sorting,	সার্টিং,	সর্টিং,	
ansarir,	আনসারির,	আনসারীর,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
konphlict,	কনফল্ক্ট,	কনফ্লিক্ট,	
phaqsa,	ফোক্স,	ফক্স,	
lidars,	লিডার্স,	লিডার্স,	
manushi,	মানুসি,	মানুষী,	
janasangyog,	জনসংস্গ,	জনসংযোগ,	
bonobhumi,	বনভূমি,	বনভূমি,	
elaakate,	এলাকাতে,	এলাকাতে,	
eokee,	এককি,	এওকি,	
vageryi,	ভাগেরই,	ভাগেরই,	
mahey,	মাহে,	মাহে,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
saahocorrzo,	সাহারোর্য,	সাহচর্য,	
foloshruti,	ফলস্রুটি,	ফলশ্রুতি,	
rooby,	রোবি,	রুবি,	
goonoman,	গুনমান,	গুণমান,	
overviu,	ওভারভিউ,	ওভারভিউ,	
farid,	ফরিদ,	ফরিদ,	
durgandha,	দুর্গন্ধ,	দুর্গন্ধ,	
aiiub,	এইয়ব,	আইইউবি,	
qyapasula,	ক্যাপসূলাল,	ক্যাপসুল,	
shastra,	শাস্ত্র,	শাস্ত্র,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
lutharana,	লুথারন,	লুথেরান,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
grambaashee,	গ্র্মাবাসী,	গ্রামবাসী,	
harris,	হারিস,	হ্যারিস,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
dhanchey,	ধাঁচে,	ধাঁচে,	
selina,	সিলিন,	সেলিনা,	
shobnom,	শবন্ম,	শবনম,	
naubihar,	নৌবিহার,	নৌবিহার,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
cholochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
afzol,	আফজল,	আফজল,	
murader,	মুরাদের,	মুরাদের,	
jokey,	যোকে,	জকি,	
rushad,	রুশাদ,	রুশদ,	
traap,	ট্রাপ,	ট্রুপ,	
dharmee,	ধর্মী,	ধর্মী,	
monohor,	মনোহর,	মনোহর,	
eporjonto,	এপর্ন্ত,	এপর্যন্ত,	
okkhor,	অক্ষর,	অক্ষর,	
amoor,	আমুর,	আমর,	
mandando,	মানদন্ড,	মানদণ্ড,	
akritakarja,	অকৃতিরক্য,	অকৃতকার্য,	
shilpajata,	শিল্পজতা,	শিল্পজাত,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
ekshor,	একশর,	একশোর,	
fasi,	ফাঁসি,	ফাঁসী,	
bangyer,	বাঙ্গের,	ব্যাঙের,	
zyakasana,	জ্যাকাসন,	জ্যাকসন,	
mailer,	মেলের,	মেইলের,	
gujob,	গুজব,	গুজব,	
abhidhaneeck,	অভিধানিক,	অভিধানিক,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
koushalgato,	কৌসলগত,	কৌশলগত,	
scoree,	স্কোরি,	স্কোরে,	
soya,	শোয়া,	সোয়া,	
bhenus,	ভেনাস,	ভেনাস,	
metroopoolitan,	মাইট্রোপলিটান,	মেট্রোপলিটন,	
konagoolo,	কোনগুলো,	কণাগুলো,	
dorun,	দরুণ,	দরুণ,	
somratra,	সমরাত্রা,	সম্রাটরা,	
shahocharjo,	সাহাচার্য,	সাহচর্য,	
ciima,	চিম,	সীমা,	
pakhirai,	পাখিরাই,	পাখিরাই,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
sonatani,	সোনাটানী,	সনাতনী,	
foltir,	ফলটির,	ফলটির,	
daakope,	ডাকপে,	দাকোপ,	
koota,	কোট,	কোটা,	
torcarir,	তরকারির,	তরকারীর,	
moshzidshoho,	মসীজদসহ,	মসজিদসহ,	
shorifer,	শরীফের,	শরিফের,	
agamaner,	আগামনের,	আগমনের,	
mehnoti,	মেহনাটি,	মেহনতি,	
gatee,	গেট,	গ্যেটে,	
batsmanei,	বৎসমনেই,	ব্যাটসম্যানই,	
madhobeer,	মাধবীর,	মাধবীর,	
mukharji,	মুখার্জি,	মুখার্জী,	
daja,	দাজ,	ডোজো,	
paripaker,	পরিপকের,	পরিপাকের,	
korechi,	করেছি,	করেছি,	
porijon,	পরিজন,	পরিজন,	
daakten,	ডাকতেন,	ডাকতেন,	
juktarashtrasaha,	যুক্তরাস্ত্রাস,	যুক্তরাষ্ট্রসহ,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
bhenasha,	ভিনাসা,	ভেনাস,	
juboksaho,	যুবক্ষাহ,	যুবকসহ,	
jamkaalo,	জামকালো,	জমকালো,	
abartey,	আবর্তে,	আবর্তে,	
objarvar,	অবজর্ভার,	অবজার্ভার,	
samrat,	সমরত,	সম্রাট,	
through,	ত্রথ,	থ্রু,	
qyanela,	ক্যানেল,	ক্যানেল,	
stonehenje,	স্টনিহেঞ্জে,	স্টোনহেঞ্জ,	
votar,	ভোটার,	ভোটার,	
duckten,	ডাক্তেন,	ডাকতেন,	
hiranee,	হিরানী,	হিরানি,	
charrjar,	চারজার,	চার্জার,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
sibraz,	শিবরাজ,	শিবরাজ,	
diares,	ডায়রেস,	ডিআরএস,	
antorvuktimulak,	অন্তর্ভূতকমূলক,	অন্তর্ভুক্তিমূলক,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
sayeed,	সায়েদ,	সাইদ,	
mosan,	মোসন,	মোশন,	
inapharamesana,	ইনফ্রমেশন,	ইনফরমেশন,	
ojuhat,	অযুহতা,	অজুহাত,	
phiksim,	ফিকসিম,	ফিক্সিং,	
vaider,	ভেডের,	ভাইদের,	
uzbekistan,	উজ্বিক্ষিত্ণ,	উজবেকিস্তান,	
jones,	জোনস,	জোন্স,	
minishtar,	মিনিসটর,	মিনিস্টার,	
athar,	আঠার,	আতহার,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
antarbhuktimulak,	অন্তর্ভূতকমূলক,	অন্তর্ভুক্তিমূলক,	
rajpurohit,	রাজপুরহিত,	রাজপুরোহিত,	
meterey,	মেটারে,	মিটারে,	
aazaadir,	আজাদীর,	আজাদীর,	
bondhuvabaponyo,	বন্ধুবভন্প,	বন্ধুভাবাপন্ন,	
allahabadey,	এল্লাহাবাদে,	এলাহাবাদে,	
unitshoho,	উনিনস্থ,	ইউনিটসহ,	
cheettronnatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
pratimar,	প্রতিমার,	প্রতিমার,	
anucheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
laiseens,	লেসেন্স,	লাইসেন্স,	
awatar,	অওতার,	অবতার,	
plus,	প্লাস,	প্লাস,	
sorano,	সরানো,	সরানো,	
manushder,	মানুষদের,	মানুষদের,	
chhilonaa,	ছিলনা,	ছিলনা,	
nishad,	নিশাদ,	নিষাদ,	
artillery,	অর্টিলারি,	আর্টিলারি,	
tukrotey,	তুক্রোতে,	টুকরোতে,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
obhidhaner,	অভিধানের,	অভিধানের,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
dumaa,	দুমা,	দুমা,	
tarkarir,	তরকারির,	তরকারীর,	
dimbacriti,	ডিম্বককৃতি,	ডিম্বাকৃতি,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
angkita,	অংকিত,	অঙ্কিতা,	
moithili,	মৈথিলী,	মৈথিলি,	
atiteo,	আতিতেও,	অতীতেও,	
parkasha,	পার্কস,	পার্কস,	
talgach,	তালগা,	তালগাছ,	
alubokhara,	অলুবক্ষা,	আলুবোখারা,	
futanto,	ফুটন্ত,	ফুটন্ত,	
chalaabi,	চালাবি,	চালাবে,	
lyata,	ল্যাট,	ল্যাটা,	
superheira,	সুপারেরা,	সুপারহিরো,	
aachees,	আচিষ,	আছিস,	
parisankhyanbid,	পরিসংখ্যবিদ্ধ,	পরিসংখ্যানবিদ,	
shainyara,	সৈন্যর,	সৈন্যরা,	
meshenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
shorifpur,	শরীপুর,	শরিফপুর,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
anish,	অনিষ,	আনিস,	
foster,	ফোস্টার,	ফস্টার,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
bolbo,	বলব,	বলবো,	
foridi,	ফরীদি,	ফরিদী,	
hatochokito,	হতচকিত,	হতচকিত,	
heja,	হেজা,	হেজ,	
laisens,	লেসেন্স,	লাইসেন্স,	
raiialati,	রেয়েলটি,	রয়্যালটি,	
mahasabha,	মহাসভ,	মহাসভা,	
mousumeo,	মৌসূমিও,	মৌসুমেও,	
manee,	মানী,	মানে,	
tochhnoch,	তচ্ছন,	তছনছ,	
kona,	কোণা,	কণা,	
augustin,	অগাস্টিন,	অগাস্টিন,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
paira,	পাইর,	পাইরা,	
torabganj,	তরাবাগ্জ,	তোরাবগঞ্জ,	
giitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
staylish,	স্টাইলস,	স্টাইলিশ,	
bhabaponno,	ভবপন্ন,	ভাবাপন্ন,	
eideen,	আইদন,	এইদিন,	
pratiyogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
uponisoder,	উপনিষোদের,	উপনিষদের,	
neelfamarir,	নেলফামারির,	নীলফামারীর,	
vangle,	ভাঙলে,	ভাঙলে,	
sima,	সিম,	সীমা,	
